title,focal_size_disease_jul_2018_density_exp
authors,"Amy Kendig, Christopher Wojan"
location,"Big Oaks National Wildlife Refuge, Madison, IN, USA"
date,20180704 - 20180705
scanned-original,focal_size_disease_jul_2018_density_exp
entered-original,DensityExperiment_FocalPlantSizesInfec_20180704.20180705
,
columns,meaning
date,date that data were collected
site,experimental site (D1 - 4)
plot,"experimental plot, which corresponds to planting treatment (1 - 10)"
treatment,"fungicide treatment (water, fungicide)"
sp,"species (Ev = Elymus virginicus, Mv = Microstegium vimineum)"
ID,"plant ID (A = focal adult, 1 - 3 = focal seedlings)"
height.cm,height of the tallest tiller (cm)
tillers,number of tillers
basal_circ.cm,basal circumference (cm)
infec,indicator variable of whether or not at least two lesions were present on at least on leaf of the plant
leaves_tot,number of leaves on a tiller
leaves_infec,number of leaves with at least two lesions on that same tiller
Bp_spots_Ev,indicator variable of whether or not Elymus individuals appeared to have Bipolaris infection (leopard-like spots)
seeds_observed,indicator variable of whether or not seeds were observed
field_notes,notes