title,plot-edge-mv-weight-jul-2018-density-exp
authors,"Amy Kendig, Christopher Wojan, Brett Lane, Ashish Adhikari, Penny Reif, David Notman, Zobia Chanda"
location,"Big Oaks National Wildlife Refuge, Madison, IN, USA"
date,20180704 - 20180709
scanned-original,misplaced
entered-original,DensityExperiment_BgMvBiomass_20180704.20180705
,
columns,meaning
site,experimental site (D1 - 4)
plot,"experimental plot, which corresponds to planting treatment (1 - 10)"
treatment,"fungicide treatment (water, fungicide)"
sort_date,date that biomass was sorted into Microstegium (mv) and Microstegium with lesions (mv_inf)
sort_initials,"initials of person who sorted biomass (PR = Penny Reif, DN = David Notman, ZC = Zobia Chanda)"
mv.g,weight of Mv without lesions (g)
mv_weigh_date,date that Mv without lesions was weighed
mv_inf.g,weight of Mv with lesions (g)
mv_inf_weigh_date,date that Mv with lesions was weighed
process_notes,notes taken during sample processing