date,site,plot,treatment,soil_moisture.vwc.1,soil_moisture.period.1,soil_moisture.vwc.2,soil_moisture.period.2,soil_moisture.vwc.3,soil_moisture.period.3
20181022,D1,1,fungicide,34.4,1.637,34.2,1.633,36.6,1.674
20181022,D1,2,fungicide,39.5,1.726,33.7,1.625,37.5,1.689
20181022,D1,3,fungicide,28.9,1.547,23.9,1.472,32.7,1.608
20181022,D1,4,fungicide,22.4,1.449,36.5,1.673,32.3,1.602
20181022,D1,5,fungicide,25,1.489,28.6,1.544,26.1,1.504
20181022,D1,6,fungicide,34.3,1.634,33.3,1.617,34.5,1.639
20181022,D1,7,fungicide,37.8,1.695,32.9,1.613,37.1,1.683
20181022,D1,8,fungicide,35.5,1.655,36.5,1.672,36.3,1.669
20181022,D1,9,fungicide,37.2,1.685,38,1.699,36.9,1.679
20181022,D1,10,fungicide,35.2,1.649,25.9,1.503,39.3,1.721
20181022,D1,1,water,38.5,1.708,37.4,1.688,37.2,1.685
20181022,D1,2,water,40.7,1.748,30.8,1.577,35.7,1.657
20181022,D1,3,water,36.2,1.666,37.9,1.699,31.6,1.59
20181022,D1,4,water,31.7,1.591,34.7,1.641,34.7,1.642
20181022,D1,5,water,25,1.489,37.2,1.684,37.8,1.695
20181022,D1,6,water,33.7,1.624,30.2,1.568,31,1.581
20181022,D1,7,water,27.8,1.531,37.2,1.683,37.8,1.694
20181022,D1,8,water,27.7,1.529,38.7,1.71,38.1,1.699
20181022,D1,9,water,30.5,1.572,29.7,1.559,32.4,1.604
20181022,D1,10,water,30.8,1.577,33.8,1.627,39.9,1.734
20181022,D2,1,fungicide,31.1,1.581,29.3,1.554,34.9,1.643
20181022,D2,2,fungicide,27.1,1.52,14.8,1.335,16.2,1.356
20181022,D2,3,fungicide,26.1,1.504,23.8,1.47,28.2,1.537
20181022,D2,4,fungicide,12,1.294,23.9,1.474,24.1,1.475
20181022,D2,5,fungicide,30.8,1.578,31.2,1.584,19.7,1.411
20181022,D2,6,fungicide,27.5,1.526,23.9,1.473,24.9,1.486
20181022,D2,7,fungicide,23.7,1.469,21.2,1.432,26.8,1.516
20181022,D2,8,fungicide,28.8,1.546,17.3,1.373,26.2,1.507
20181022,D2,9,fungicide,29.2,1.553,29.1,1.551,35.5,1.654
20181022,D2,10,fungicide,26.6,1.512,28.5,1.542,27.6,1.528
20181022,D2,1,water,17.9,1.382,16.8,1.365,18.4,1.389
20181022,D2,2,water,33.6,1.622,21.4,1.434,25.3,1.493
20181022,D2,3,water,31.1,1.581,28.1,1.535,24.7,1.484
20181022,D2,4,water,31.6,1.589,26.3,1.508,22.1,1.446
20181022,D2,5,water,30.2,1.568,12.9,1.308,30.9,1.578
20181022,D2,6,water,21.4,1.435,25.1,1.489,27.7,1.529
20181022,D2,7,water,28.9,1.548,30.8,1.577,28.9,1.547
20181022,D2,8,water,27.8,1.53,26.4,1.509,25.5,1.495
20181022,D2,9,water,16.5,1.362,17.9,1.382,19.4,1.405
20181022,D2,10,water,26.5,1.511,21,1.429,23.6,1.468
20181023,D3,1,fungicide,19.5,1.407,26.4,1.51,22.6,1.453
20181023,D3,2,fungicide,30.2,1.568,30.6,1.573,25.5,1.497
20181023,D3,3,fungicide,19.6,1.408,23.9,1.473,20.8,1.426
20181023,D3,4,fungicide,27.3,1.524,28.4,1.541,24,1.474
20181023,D3,5,fungicide,17.5,1.378,12.4,1.299,17.7,1.381
20181023,D3,6,fungicide,18.8,1.396,18.1,1.387,14.8,1.337
20181023,D3,7,fungicide,27.8,1.53,27,1.519,23.1,1.46
20181023,D3,8,fungicide,30.8,1.577,21.4,1.434,26.7,1.513
20181023,D3,9,fungicide,15,1.34,27.2,1.521,27.7,1.529
20181023,D3,10,fungicide,32.8,1.607,30.9,1.579,30,1.564
20181023,D3,1,water,23.7,1.47,22.4,1.451,19.9,1.414
20181023,D3,2,water,14.8,1.337,15.9,1.353,20,1.415
20181023,D3,3,water,30.2,1.568,20.7,1.425,25.1,1.489
20181023,D3,4,water,24.2,1.47,21.7,1.439,19.2,1.401
20181023,D3,5,water,26.7,1.513,23.5,1.466,28.2,1.537
20181023,D3,6,water,14,1.325,14.2,1.328,18,1.386
20181023,D3,7,water,21.7,1.439,16.5,1.363,20.2,1.417
20181023,D3,8,water,27.2,1.521,27.5,1.526,26.2,1.507
20181023,D3,9,water,20,1.415,23.3,1.464,19.5,1.407
20181023,D3,10,water,28.3,1.538,21.2,1.432,21.5,1.437
20181023,D4,1,fungicide,18.4,1.391,25.7,1.499,12.1,1.294
20181023,D4,2,fungicide,23.6,1.468,25.4,1.494,30.2,1.568
20181023,D4,3,fungicide,26.3,1.508,27.8,1.53,28.7,1.545
20181023,D4,4,fungicide,25.1,1.489,24.3,1.478,29.3,1.554
20181023,D4,5,fungicide,28.4,1.541,17.5,1.377,29.9,1.563
20181023,D4,6,fungicide,25.8,1.499,29.4,1.555,25.8,1.499
20181023,D4,7,fungicide,28.7,1.545,26.9,1.517,26.3,1.509
20181023,D4,8,fungicide,NA,NA,NA,NA,NA,NA
20181023,D4,9,fungicide,26.3,1.509,20.7,1.425,22.7,1.455
20181023,D4,10,fungicide,NA,NA,NA,NA,NA,NA
20181023,D4,1,water,18.1,1.388,13.2,1.313,22.9,1.458
20181023,D4,2,water,10.1,1.264,14.8,1.336,23.4,1.465
20181023,D4,3,water,30.1,1.567,29.9,1.563,32.4,1.603
20181023,D4,4,water,25.9,1.502,28.2,1.537,30.5,1.572
20181023,D4,5,water,26.4,1.51,26.4,1.509,26.7,1.515
20181023,D4,6,water,17.9,1.383,31.9,1.581,28.9,1.547
20181023,D4,7,water,36.3,1.666,30.8,1.577,32.2,1.599
20181023,D4,8,water,28.4,1.539,23.5,1.466,21.7,1.439
20181023,D4,9,water,24.8,1.485,28.6,1.543,31.3,1.585
20181023,D4,10,water,29.3,1.553,31.1,1.581,29,1.549